"Health indicator statistics, annual estimates, by household income quintile and highest level of education c 1 2 3"
"Frequency: Occasional"
"Table: 13-10-0906-01"
"Release date: 2025-08-06"
"Geography: Province or territory"
""
""

"Geography","Canada (excluding territories)",,,,,,,,,,,,,,,
"Selected characteristic 4 5","Household income, first quintile 12",,"Household income, second quintile",,"Household income, third quintile",,"Household income, fourth quintile",,"Household income, fifth quintile",,"Highest level of education, less than secondary school graduation 12",,"Highest level of education, secondary school graduation, no post-secondary education",,"Highest level of education, post-secondary certificate/diploma or university degree",
"Characteristics 6 7 8 9 10 11","Number of persons",,"Number of persons",,"Number of persons",,"Number of persons",,"Number of persons",,"Number of persons",,"Number of persons",,"Number of persons",
"Indicators","2023","2024","2023","2024","2023","2024","2023","2024","2023","2024","2023","2024","2023","2024","2023","2024"
,"Number",,,,,,,,,,,,,,,
"Perceived mental health, very good or excellent 13","3,107,300","3,106,700","3,301,800","3,315,000","3,278,400","3,455,900","3,347,900","3,616,500","3,549,000","3,722,900","660,200","656,400","1,997,400","2,026,800","10,338,900","11,015,400"
18,"Statistics Canada has two main surveys that produce national and provincial smoking rates. The Canadian Community health Survey (CCHS), and the Canadian Tobacco, Alcohol and Drugs Survey (CTADS), which replaces the Canadian Tobacco Use Monitoring Survey (CTUMS) beginning in 2013. Users should be aware of a number of differences between CCHS and CTADS. CCHS collects information from respondents aged 18 and over, CTADS collects information from respondents aged 18 and over; the two surveys use different sampling frames; the annual sample for CTADS is 20,000 compared to 65,000 for CCHS; in CCHS, smoking questions are asked in the context of a wide range of health-related behaviours whereas in CTADS, all questions are related to the use of multiple products and substances with addictive properties. Although these factors can influence the estimates produced at a single point in time, the trends produced by the two surveys have been noted to be very consistent over time. Rather than comparing smoking rates produced from the two surveys, Statistics Canada advises users to choose a single source, based on their objectives, and to use that source consistently."
19,"Represents those who have ever tried an e-cigarette/vaping device. Vaping includes vaping e-liquid—with and without nicotine such as flavouring—and using an e-cigarette. Excludes vaping cannabis."
20,"Represents those who have used an e-cigarette/vaping device within the past 30 days. Vaping includes vaping e-liquid—with and without nicotine such as flavouring—and using an e-cigarette. Excludes vaping cannabis."
21,"Heavy drinking refers to males who reported having 5 or more drinks, or women who reported having 4 or more drinks, on one occasion, at least once a month in the past year."
22,"Based on information provided by females aged 18 to 55 who had a baby in the last 5 years."
23,"Initiated breastfeeding refers to mothers who breastfed or tried to breastfeed their last child, or gave breastmilk to their last child even if only for a short time."
24,"Exclusive breastfeeding refers to an infant receiving only breast milk, without any additional liquid (even water) or solid food."
25,"The numerator includes mothers who have exclusively breastfed for at least 6 months and who may or may not be still breastfeeding. The denominator includes all mothers who had a baby in the past 5 years but excludes mothers who were still breastfeeding and who had not introduced any other liquids or solid foods to the baby's feeds."
26,"Indicates the usual number of times (frequency) per day a person reported eating fruits and vegetables. Measure does not take into account the amount consumed. This includes pure fruit juice, frozen or canned fruits and vegetables, and dried fruit, but excludes fried potatoes."
27,"Population aged 18 and over who reported their sense of belonging to their local community as being very strong or somewhat strong. Research shows a high correlation of sense of community-belonging with physical and mental health."
28,"Population aged 18 and over who reported being satisfied or very satisfied with their life in general. Life satisfaction is based on a self-reported score from 0 to 10 for how respondents feel about their life as a whole at the moment. Satisfied or very satisfied represents those who indicated a value of 6 or more out of 10."
29,"Measures the proportion individuals aged 18 and over who reported having a healthcare provider they regularly see or talk to when they need normal care or advice for their health. It includes one of the following healthcare providers: family doctor or general practitioner, medical specialist (for example, cardiologist, pediatrician, oncologist), nurse practitioner or other (for example, chiropractor, psychologist)."
30,"In 2024, the question on which this indicator is based was revised to distinguish between types of healthcare providers and care team arrangements. Caution should be used when comparing with previous years."
31,"Population aged 18 and over who reported having their last influenza immunization (flu shot) in the past 12 months."



"How to cite: Statistics Canada. Table 13-10-0906-01  Health indicator statistics, annual estimates, by household income quintile and highest level of education"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1310090601
